Region,Stage,Individual ID,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Delta 15 N (o/oo),Delta 13 C (o/oo),Comments
Anvers,"Adult, 1 Egg Stage",N15A2,45,15.4,220,5050,8.63488,-26.75621,
Anvers,"Adult, 1 Egg Stage",N16A1,43.8,13.9,208,4300,8.58319,-26.84415,
Anvers,"Adult, 1 Egg Stage",N16A2,45.5,15,220,5000,8.63604,-26.7489,
Anvers,"Adult, 1 Egg Stage",N17A1,43.2,14.5,208,4450,8.48367,-26.86485,
Anvers,"Adult, 1 Egg Stage",N17A2,50.4,15.3,224,5550,8.74647,-26.79846,
Anvers,"Adult, 1 Egg Stage",N18A1,45.3,13.8,208,4200,8.65015,-26.79053,
Anvers,"Adult, 1 Egg Stage",N18A2,46.2,14.9,221,5300,8.60092,-26.84374,
Anvers,"Adult, 1 Egg Stage",N19A1,45.7,13.9,214,4400,8.6287,-26.60484,
Anvers,"Adult, 1 Egg Stage",N19A2,54.3,15.7,231,5650,8.49662,-26.84166,
Anvers,"Adult, 1 Egg Stage",N20A1,45.8,14.2,219,4700,8.60447,-26.61601,
Anvers,"Adult, 1 Egg Stage",N20A2,49.8,16.8,230,5700,8.47067,-26.69166,
Anvers,"Adult, 1 Egg Stage",N51A1,46.2,14.4,214,4650,8.24253,-26.8154,
Anvers,"Adult, 1 Egg Stage",N51A2,49.5,16.2,229,5800,8.49854,-26.74809,
Anvers,"Adult, 1 Egg Stage",N53A1,43.5,14.2,220,4700,8.64931,-26.68867,
Anvers,"Adult, 1 Egg Stage",N53A2,50.7,15,223,5550,8.63551,-26.74249,
Anvers,"Adult, 1 Egg Stage",N54A1,47.7,15,216,4750,8.53018,-26.72751,
Anvers,"Adult, 1 Egg Stage",N54A2,46.4,15.6,221,5000,8.35078,-26.70783,
Anvers,"Adult, 1 Egg Stage",N55A1,48.2,15.6,221,5100,8.24651,-26.66958,
Anvers,"Adult, 1 Egg Stage",N55A2,46.5,14.8,217,5200,8.58487,-26.5929,
Anvers,"Adult, 1 Egg Stage",N56A1,46.4,15,216,4700,8.47938,-26.9547,
Anvers,"Adult, 1 Egg Stage",N56A2,48.6,16,230,5800,8.5964,-26.71199,
Anvers,"Adult, 1 Egg Stage",N58A1,47.5,14.2,209,4600,8.39299,-26.78733,
Anvers,"Adult, 1 Egg Stage",N58A2,51.1,16.3,220,6000,8.40327,-26.76821,
Anvers,"Adult, 1 Egg Stage",N60A1,45.2,13.8,215,4750,8.24694,-26.65359,
Anvers,"Adult, 1 Egg Stage",N60A2,45.2,16.4,223,5950,8.19749,-26.65931,
Anvers,"Adult, 1 Egg Stage",N1A1,49.1,14.5,212,4625,8.35802,-26.2766,
Anvers,"Adult, 1 Egg Stage",N1A2,52.5,15.6,221,5450,8.28601,-26.27573,
Anvers,"Adult, 1 Egg Stage",N6A1,47.4,14.6,212,4725,8.19101,-26.24369,
Anvers,"Adult, 1 Egg Stage",N6A2,50,15.9,224,5350,8.20042,-26.39677,
Anvers,"Adult, 1 Egg Stage",N8A1,44.9,13.8,212,4750,8.11238,-26.20372,
Anvers,"Adult, 1 Egg Stage",N8A2,50.8,17.3,228,5600,8.27428,-26.30019,
Anvers,"Adult, 1 Egg Stage",N13A1,43.4,14.4,218,4600,8.23468,-26.18599,
Anvers,"Adult, 1 Egg Stage",N13A2,51.3,14.2,218,5300,8.15426,-26.3433,
Anvers,"Adult, 1 Egg Stage",N14A1,47.5,14,212,4875,8.12691,-26.23613,
Anvers,"Adult, 1 Egg Stage",N14A2,52.1,17,230,5550,8.27595,-26.11657,
Anvers,"Adult, 1 Egg Stage",N15A1,47.5,15,218,4950,8.29671,-26.08547,
Anvers,"Adult, 1 Egg Stage",N15A2,52.2,17.1,228,5400,8.36701,-25.89834,
Anvers,"Adult, 1 Egg Stage",N18A1,45.5,14.5,212,4750,8.15566,-26.22848,
Anvers,"Adult, 1 Egg Stage",N18A2,49.5,16.1,224,5650,8.83352,-25.69195,
Anvers,"Adult, 1 Egg Stage",N19A1,44.5,14.7,214,4850,8.20106,-26.16524,
Anvers,"Adult, 1 Egg Stage",N19A2,50.8,15.7,226,5200,8.27102,-26.11244,
Anvers,"Adult, 1 Egg Stage",N20A1,49.4,15.8,216,4925,8.03624,-26.06594,
Anvers,"Adult, 1 Egg Stage",N20A2,46.9,14.6,222,4875,7.8881,-26.04726,
Anvers,"Adult, 1 Egg Stage",N21A1,48.4,14.4,203,4625,8.16582,-26.13971,
Anvers,"Adult, 1 Egg Stage",N21A2,51.1,16.5,225,5250,8.2066,-26.36863,
Anvers,"Adult, 1 Egg Stage",N22A1,48.5,15,219,4850,8.10231,-26.18763,
Anvers,"Adult, 1 Egg Stage",N22A2,55.9,17,228,5600,8.3118,-26.35425,
Anvers,"Adult, 1 Egg Stage",N23A1,47.2,15.5,215,4975,8.30817,-26.21651,
Anvers,"Adult, 1 Egg Stage",N23A2,49.1,15,228,5500,8.65914,-25.79203,
Anvers,"Adult, 1 Egg Stage",N24A1,47.3,13.8,216,4725,8.25818,-26.23886,
Anvers,"Adult, 1 Egg Stage",N24A2,46.8,16.1,215,5500,8.32359,-26.05756,
Anvers,"Adult, 1 Egg Stage",N28A1,41.7,14.7,210,4700,8.12311,-26.44815,
Anvers,"Adult, 1 Egg Stage",N28A2,53.4,15.8,219,5500,8.41017,-26.33867,
Anvers,"Adult, 1 Egg Stage",N29A1,43.3,14,208,4575,8.4207,-26.38092,
Anvers,"Adult, 1 Egg Stage",N29A2,48.1,15.1,209,5500,8.45738,-26.22664,
Anvers,"Adult, 1 Egg Stage",N32A1,50.5,15.2,216,5000,8.24691,-26.18466,
Anvers,"Adult, 1 Egg Stage",N32A2,49.8,15.9,229,5950,8.29226,-26.21019,
Anvers,"Adult, 1 Egg Stage",N34A1,43.5,15.2,213,4650,8.21634,-26.11046,
Anvers,"Adult, 1 Egg Stage",N34A2,51.5,16.3,230,5500,8.78557,-25.76147,
Anvers,"Adult, 1 Egg Stage",N35A1,46.2,14.1,217,4375,8.30231,-25.96013,
Anvers,"Adult, 1 Egg Stage",N35A2,55.1,16,230,5850,8.08354,-26.18161,
Anvers,"Adult, 1 Egg Stage",N36A1,44.5,15.7,217,4875,8.04111,-26.18444,
Anvers,"Adult, 1 Egg Stage",N36A2,48.8,16.2,222,6000,8.33825,-25.88547,
Anvers,"Adult, 1 Egg Stage",N38A1,47.2,13.7,214,4925,7.99184,-26.20538,
Anvers,"Adult, 1 Egg Stage",N38A2,,,,,,,
Anvers,"Adult, 1 Egg Stage",N39A1,46.8,14.3,215,4850,8.41151,-26.13832,
Anvers,"Adult, 1 Egg Stage",N39A2,50.4,15.7,222,5750,8.30166,-26.04117,
Anvers,"Adult, 1 Egg Stage",N43A1,45.2,14.8,212,5200,8.24246,-26.11969,
Anvers,"Adult, 1 Egg Stage",N43A2,49.9,16.1,213,5400,8.3639,-26.15531,
